group,market_ids,sum_yes,n_markets,gross_profit,$ after fees and slippage (0.5%),$ (1%),$ (2%)
16284,517321,0.031,1,96.9,96.3845,96.369,96.338
17824,521963,0.0035,1,99.65,99.1483,99.1465,99.143
17825,521964,0.0135,1,98.65,98.1433,98.1365,98.123
20461,527079,0.0065,1,99.35,98.8468,98.8435,98.837
21206,528788,0.013,1,98.7,98.1935,98.187,98.174
21220,528820,0.0575,1,94.25,93.7212,93.6925,93.635
21662,531202,0.4155,1,58.45,57.7423,57.5345,57.119
22214,533851,0.0015,1,99.85,99.3493,99.3485,99.347
22863,537490,0.0135,1,98.65,98.1433,98.1365,98.123
23792,540881,0.028,1,97.2,96.686,96.672,96.644
25009,546612,0.0505,1,94.95,94.4248,94.3995,94.349
27830,553856;553857;553858;553859;553860;553861;553862;553863;553864,0.6325,9,36.75,31.9338,31.6175,30.985
